id;il1;in1;in2;cu1;il2;in3;in4;de1;cu2;il3;in5;de2;cu3;in6;il4;cu4;de3;de4;il5;cu5
1;3;2;1;1;3;2;1;1;2;3;2;1;2;1;4;1;1;1;3;1
2;4;0;0;0;4;0;0;0;1;4;0;1;0;0;4;1;0;1;4;0
3;2;3;2;1;2;1;1;4;1;2;3;4;1;2;2;1;4;4;2;1
4;4;0;0;0;4;2;0;0;0;4;0;1;0;0;4;0;1;1;4;0
5;3;1;1;0;3;0;1;2;1;3;2;2;0;0;3;1;2;2;3;1
6;3;1;1;2;4;2;1;1;1;4;4;1;2;2;3;1;1;2;3;2
7;4;1;1;1;4;1;0;1;1;4;1;1;0;1;4;1;1;1;4;1
8;4;1;0;0;4;1;0;2;2;4;0;2;0;1;4;0;2;2;3;0
9;4;1;1;0;4;1;0;2;0;4;0;2;0;0;4;0;1;1;4;0
10;3;2;3;0;3;1;1;3;2;3;2;3;2;2;2;1;3;3;2;1
11;3;2;2;1;2;2;0;2;2;3;2;2;2;2;2;2;1;2;2;2
12;2;2;3;1;1;0;1;3;2;2;2;3;1;3;1;2;3;4;1;1
13;4;2;1;1;4;1;1;1;1;4;2;2;1;1;4;1;2;1;4;1
14;3;3;2;0;4;1;1;3;2;4;4;3;2;3;4;1;3;3;2;1
15;4;0;1;0;4;0;0;2;1;4;0;2;0;0;4;0;2;1;4;0
16;4;2;2;1;4;1;1;3;1;3;2;3;1;2;3;1;2;2;3;1
17;3;1;1;2;3;1;1;4;1;3;2;3;1;2;3;1;3;3;3;1
18;2;4;2;1;2;1;0;4;2;1;4;3;1;1;2;1;3;2;2;1
19;2;1;1;1;2;1;2;3;1;2;2;3;1;0;2;0;3;4;3;2
20;3;1;1;1;4;4;3;2;1;3;2;1;1;1;4;1;2;1;3;1
21;4;2;3;1;4;3;2;2;1;4;3;2;1;1;4;2;2;1;4;1
22;3;2;1;0;4;1;0;1;0;3;0;1;0;0;4;0;0;1;3;0
23;3;2;0;0;2;2;2;2;2;3;2;2;1;1;3;1;2;1;3;1
24;3;1;1;0;4;0;1;2;0;4;2;2;0;1;3;1;2;1;3;1
25;4;0;0;1;4;1;1;2;1;4;0;1;0;1;4;1;2;1;4;1
26;3;2;1;1;3;1;1;2;3;4;3;3;2;1;4;2;2;2;3;1
27;2;0;2;3;3;1;1;2;2;3;1;2;1;1;2;1;0;3;2;2
28;2;2;2;1;2;3;1;3;2;2;1;3;2;2;2;1;3;3;2;1
29;3;0;2;0;2;0;1;1;1;4;1;3;1;2;4;1;3;2;3;1
30;4;0;0;0;4;0;1;4;3;4;2;4;1;0;2;2;4;4;3;1
31;4;0;1;4;4;1;0;3;1;4;0;3;1;2;4;1;1;1;4;0
32;3;1;1;1;4;2;2;1;1;4;1;1;0;2;4;1;1;0;3;0
33;4;1;0;1;4;0;0;2;1;4;1;1;1;1;4;1;2;1;4;1
34;3;2;2;0;4;1;2;2;1;3;1;2;0;1;3;1;2;0;3;1
35;4;3;2;1;4;3;1;2;2;4;2;2;1;2;4;1;2;1;4;1
36;4;1;1;1;4;2;1;2;1;4;1;1;0;2;4;1;1;1;4;1
37;3;1;1;0;3;1;1;1;1;4;0;1;0;1;4;1;1;1;3;1
38;4;0;2;2;4;2;1;2;2;4;1;2;1;1;4;1;2;1;4;1
39;4;1;1;0;4;0;0;0;0;3;1;0;0;0;4;1;2;0;4;0
40;4;1;1;1;3;1;0;2;1;3;1;2;1;1;3;2;1;2;3;1
41;3;2;2;1;3;1;1;2;1;3;3;2;1;1;3;1;4;2;3;1
42;2;1;0;0;3;2;0;1;0;3;1;1;0;1;2;0;2;2;3;0
43;3;2;2;1;3;1;0;1;1;4;1;1;1;2;3;1;1;1;3;1
44;3;1;0;2;4;1;0;2;1;4;2;2;1;0;4;1;2;0;4;1
45;3;0;1;0;3;1;1;2;1;3;1;2;1;1;3;1;2;2;3;1
46;3;0;0;1;3;0;1;0;0;4;1;0;0;0;4;0;0;0;4;0
47;1;1;3;0;2;4;3;3;1;1;3;3;1;4;1;0;4;3;3;0
48;3;1;1;2;4;1;0;2;1;4;1;1;1;2;4;2;2;1;4;1
