"id","co"
1,2
2,1
3,2
4,1
5,1
6,2
7,1
8,1
9,1
10,2
11,2
12,2
13,1
14,2
15,1
16,2
17,2
18,2
19,2
20,2
21,2
22,1
23,2
24,1
25,1
26,2
27,2
28,2
29,2
30,2
31,1
32,1
33,1
34,1
35,2
36,1
37,1
38,1
39,1
40,1
41,2
42,1
43,1
44,1
45,2
46,1
47,2
48,1
49,1
50,2
51,1
52,2
53,1
54,1
55,1
56,1
57,2
58,2
59,2
60,1
61,1
62,1
63,2
64,2
65,1
66,2
67,2
68,2
69,1
70,1
71,1
72,1
73,2
74,1
75,2
76,2
77,1
78,2
79,2
80,2
81,2
82,2
83,1
84,2
85,1
86,2
87,1
88,1
89,2
90,2
91,2
92,2
93,2
94,1
95,1
96,2
97,2
98,2
99,2
100,2
101,2
102,1
103,2
104,1
105,1
106,1
107,1
108,2
109,2
110,1
111,2
112,1
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,1
121,2
122,1
123,2
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,2
135,2
136,1
137,1
138,1
139,2
140,1
141,2
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,2
155,1
156,2
157,2
158,2
159,2
160,2
161,1
162,1
163,2
164,1
165,2
166,1
167,1
168,1
169,2
170,1
171,1
172,2
173,2
174,1
175,2
176,1
177,2
178,2
179,2
180,1
181,1
182,1
183,1
184,2
185,2
186,1
187,1
188,2
189,2
190,2
191,1
192,1
193,1
194,1
195,1
196,2
197,2
198,1
199,2
200,1
201,2
202,1
203,1
204,1
205,2
206,2
207,2
208,2
209,1
210,2
211,1
212,1
213,2
214,2
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,2
227,2
228,2
229,2
230,1
231,1
232,2
233,2
234,1
235,1
236,1
237,2
238,1
239,2
240,1
241,1
242,2
243,1
244,2
245,1
246,2
247,1
248,1
249,1
250,2
251,2
252,2
253,1
254,2
255,1
256,2
257,2
