id;e1;a1;d1;a2;d2;e2;a3;e3;a4;d3;e4;e5;d4;e6;a5;d5;d6;e7;a6;a7;d7
1;1;0;0;0;0;1;0;1;0;0;1;1;0;2;0;0;0;1;0;0;1
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2;3;1;2;1;3;2;2;0;0;2;3;2;2;1;1;1;3;2;2;1
4;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
5;2;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;1;0;0
6;1;2;0;0;1;1;0;0;1;0;1;1;1;1;0;0;1;1;2;1;0
7;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;2;0;2;0;0;1;0;0;1;1;1;2;1;0;0;0;0;1;0;0;0
9;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;2;1;2;1;1;1;1;2;2;1;1;2;1;1;1;1;2;1;1;3;1
11;1;1;1;0;0;1;0;0;1;0;0;1;1;0;1;0;1;1;0;0;1
12;3;1;1;0;0;0;0;1;1;0;1;1;1;1;0;1;0;2;0;0;0
13;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0
14;2;1;1;1;1;2;0;2;1;0;1;1;2;1;2;2;1;2;1;2;1
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0
16;1;0;0;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0
17;2;1;1;0;0;1;0;2;0;0;1;2;1;1;0;0;0;1;1;0;0
18;2;2;2;0;1;1;1;1;1;2;0;2;2;1;0;1;1;2;0;2;2
19;1;1;2;1;1;1;1;2;0;0;1;1;1;1;0;1;0;1;1;0;0
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;2;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0
22;3;2;2;1;0;2;1;1;0;0;1;2;0;1;0;0;0;0;0;0;0
23;3;1;1;0;0;1;0;2;0;0;1;2;1;0;0;0;0;1;0;0;0
24;1;1;2;2;0;1;0;1;1;0;1;1;1;0;0;1;1;1;1;0;0
25;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
26;2;0;1;1;1;2;0;1;0;0;0;1;1;1;2;0;1;2;0;0;0
27;1;1;1;0;2;1;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0
28;3;0;1;0;0;0;0;3;0;0;1;3;1;1;0;1;0;1;1;0;0
29;2;1;0;0;2;0;0;1;1;0;1;1;1;1;0;0;0;1;0;0;0
30;3;2;3;3;3;3;3;3;3;0;2;3;3;3;3;3;2;3;3;3;0
31;2;1;1;0;1;0;1;3;1;1;2;3;1;0;0;1;0;1;1;0;0
32;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
33;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
34;1;1;0;1;0;0;0;2;1;0;0;1;1;1;0;0;0;1;1;1;0
35;2;1;1;2;1;1;1;1;1;0;2;2;0;1;0;0;0;2;2;1;0
36;1;0;0;0;1;1;0;1;0;0;1;1;1;2;0;0;0;0;0;0;0
37;1;0;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
38;1;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
39;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
40;1;0;1;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0
41;3;2;1;2;1;2;0;1;3;0;1;2;1;1;3;1;1;1;1;3;0
42;1;2;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
43;1;1;0;0;0;0;1;1;1;0;1;1;1;0;1;0;0;1;1;1;0
44;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
45;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
46;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
47;3;3;2;2;2;3;2;3;3;2;3;3;3;3;3;2;2;3;3;3;3
48;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0
49;2;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
50;2;2;1;1;1;1;0;2;2;1;1;1;2;1;1;1;1;2;2;1;2
51;1;1;0;0;1;1;0;2;0;0;0;1;1;0;0;0;0;1;0;1;0
52;3;2;2;0;2;3;2;3;3;2;0;3;1;2;3;3;3;3;0;3;3
53;2;3;0;0;0;1;0;3;0;0;0;2;0;0;0;0;0;1;0;0;0
54;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0
55;2;2;1;1;0;1;0;1;1;0;2;2;1;0;0;0;0;1;1;0;0
56;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
57;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
58;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
59;1;2;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0
60;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0
61;1;1;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0
62;1;0;1;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0
63;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;2
64;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
65;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
68;2;0;1;0;0;1;0;2;0;0;1;1;1;0;1;0;0;1;0;0;0
69;2;1;1;1;1;0;0;1;1;0;1;1;1;0;0;0;0;1;1;0;0
70;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2;3;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0
74;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
75;2;0;1;1;0;1;0;0;0;0;0;1;2;0;1;1;0;0;1;1;0
76;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
77;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
78;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
79;1;2;1;0;2;1;1;1;2;0;1;1;1;1;1;2;0;1;0;1;0
80;1;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;0;1;1;0;0
81;2;1;1;2;1;1;2;2;2;1;2;2;1;1;2;1;1;1;1;2;1
82;1;0;0;0;1;1;3;2;0;1;1;1;1;0;0;1;1;1;0;0;1
83;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0
84;1;2;0;0;1;0;0;0;1;0;0;1;3;0;0;0;0;0;0;0;0
85;1;0;0;0;0;1;0;1;2;0;0;0;0;0;1;0;0;1;0;0;0
86;1;3;1;0;0;1;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0
87;1;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;3;2;1;1;0;3;1;3;1;0;3;3;1;1;0;0;1;3;3;0;1
90;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
91;1;1;1;0;0;1;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0
92;2;1;2;0;1;1;0;1;1;0;1;1;1;1;0;2;2;2;1;0;0
93;2;0;1;0;0;1;0;1;2;0;1;2;0;1;0;0;0;1;0;0;0
94;2;0;1;1;0;0;0;1;0;0;1;1;1;1;0;0;1;1;0;0;0
95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;2;1;0;0;0;1;0;2;1;0;2;2;0;2;1;0;1;3;1;0;0
97;1;1;1;0;1;1;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0
98;2;2;2;1;1;3;2;2;2;0;2;2;1;0;0;0;1;3;2;1;0
99;2;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;2;0;0
100;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0
101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
103;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
104;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
