"Item";"GP";"G";"C";"I";"IE";"WS"
"a1";0,5389;7;0,0034;12;0,3988;0,2857
"a2";0,956;8;0,004;96;0,956;0,3571
"a3";0,4524;8;0,0027;0;0,4524;0,5357
"a4";0,739;8;0,0032;12;0,739;0,6071
"a5";0,8812;8;0,0033;16;0,8812;0,5357
"a6";0,8014;9;0,0039;60;0,8014;0,4167
"a7";0,9339;6;0,0034;24;0,7937;0,3333
"d1";0,3754;9;0,0026;0;0,3754;0,6
"d2";0,3925;4;0,0025;2;0,3925;0,5278
"d3";1,0319;15;0,0031;30;1,0319;0,6667
"d4";0,982;9;0,0037;72;0,982;0,3524
"d5";0,4787;8;0,0026;0;0,4787;0,3929
"d6";0,6321;5;0,0035;46;0,6321;0,5
"d7";1,1201;7;0,0031;14;1,1201;0,4762
"e1";0,9589;10;0,0036;14;0,9589;0,5714
"e2";0,6337;10;0,0028;6;0,6337;0,4667
"e3";1,1472;13;0,004;92;1,1472;0,5556
"e4";1,055;7;0,0035;0;1,055;0,5
"e5";1,2599;8;0,004;74;1,2599;0,5714
"e6";0,2197;4;0,0024;0;0,2197;0,5
"e7";0,8362;9;0,0032;22;0,8362;0,5556
